StudentID,time_spent,avg_quiz_score,topics_engaged,learning_style,recommended_resource
1,122,81,8,Visual,Video Tutorial
2,40,53,3,Reading/Writing,Online Course
3,169,82,2,Kinesthetic,Practice Exercises
4,107,59,6,Visual,Video Tutorial
5,149,93,5,Visual,Video Tutorial
6,180,87,6,Visual,Video Tutorial
7,108,78,3,Kinesthetic,Practice Exercises
8,127,84,4,Reading/Writing,Online Course
9,83,32,5,Visual,Video Tutorial
10,70,36,5,Reading/Writing,Online Course
11,92,68,2,Kinesthetic,Practice Exercises
12,151,89,2,Visual,Video Tutorial
13,28,82,2,Visual,Video Tutorial
14,103,89,7,Kinesthetic,Practice Exercises
15,191,37,3,Visual,Video Tutorial
16,100,65,2,Visual,Video Tutorial
17,123,33,2,Visual,Video Tutorial
18,153,83,4,Kinesthetic,Practice Exercises
19,73,92,2,Visual,Video Tutorial
20,63,63,4,Kinesthetic,Practice Exercises
21,33,77,8,Reading/Writing,Online Course
22,59,82,8,Reading/Writing,Online Course
23,173,89,9,Visual,Video Tutorial
24,176,44,1,Reading/Writing,Online Course
25,108,38,8,Visual,Video Tutorial
26,148,37,8,Kinesthetic,Practice Exercises
27,82,40,3,Visual,Video Tutorial
28,100,37,3,Kinesthetic,Practice Exercises
29,182,62,5,Kinesthetic,Practice Exercises
30,60,57,7,Visual,Video Tutorial
31,91,41,2,Reading/Writing,Online Course
32,52,77,7,Kinesthetic,Practice Exercises
33,170,91,8,Kinesthetic,Practice Exercises
34,56,73,8,Kinesthetic,Practice Exercises
35,54,94,3,Kinesthetic,Practice Exercises
36,120,76,3,Kinesthetic,Practice Exercises
37,20,34,7,Kinesthetic,Practice Exercises
38,161,56,9,Kinesthetic,Practice Exercises
39,34,71,3,Visual,Video Tutorial
40,82,81,4,Reading/Writing,Online Course
41,170,44,4,Kinesthetic,Practice Exercises
42,32,61,7,Visual,Video Tutorial
43,105,57,2,Kinesthetic,Practice Exercises
44,189,74,9,Visual,Video Tutorial
45,153,57,4,Kinesthetic,Practice Exercises
46,49,91,7,Visual,Video Tutorial
47,111,91,1,Kinesthetic,Practice Exercises
48,148,56,9,Reading/Writing,Online Course
49,135,32,7,Kinesthetic,Practice Exercises
50,174,38,5,Reading/Writing,Online Course
51,70,73,8,Visual,Video Tutorial
52,78,61,8,Visual,Video Tutorial
53,199,91,1,Kinesthetic,Practice Exercises
54,71,41,7,Visual,Video Tutorial
55,149,32,1,Reading/Writing,Online Course
56,120,85,1,Kinesthetic,Practice Exercises
57,132,31,2,Reading/Writing,Online Course
58,73,30,3,Reading/Writing,Online Course
59,145,31,5,Kinesthetic,Practice Exercises
60,191,61,6,Reading/Writing,Online Course
61,179,97,7,Kinesthetic,Practice Exercises
62,142,46,6,Reading/Writing,Online Course
63,43,98,4,Visual,Video Tutorial
64,117,99,6,Visual,Video Tutorial
65,158,45,1,Visual,Video Tutorial
66,143,88,6,Visual,Video Tutorial
67,112,32,4,Reading/Writing,Online Course
68,183,48,3,Visual,Video Tutorial
69,166,49,7,Kinesthetic,Practice Exercises
70,71,62,8,Kinesthetic,Practice Exercises
71,147,68,2,Kinesthetic,Practice Exercises
72,123,30,9,Reading/Writing,Online Course
73,197,52,3,Reading/Writing,Online Course
74,26,45,9,Visual,Video Tutorial
75,79,31,1,Visual,Video Tutorial
76,67,41,5,Reading/Writing,Online Course
77,56,61,7,Kinesthetic,Practice Exercises
78,28,48,3,Visual,Video Tutorial
79,167,53,6,Kinesthetic,Practice Exercises
80,139,62,8,Visual,Video Tutorial
81,135,65,6,Visual,Video Tutorial
82,123,54,2,Kinesthetic,Practice Exercises
83,147,95,6,Reading/Writing,Online Course
84,182,90,9,Visual,Video Tutorial
85,180,97,1,Reading/Writing,Online Course
86,161,50,4,Reading/Writing,Online Course
87,147,37,7,Visual,Video Tutorial
88,164,62,3,Kinesthetic,Practice Exercises
89,138,51,6,Reading/Writing,Online Course
90,128,80,6,Reading/Writing,Online Course
91,27,56,2,Visual,Video Tutorial
92,40,59,1,Kinesthetic,Practice Exercises
93,47,93,1,Visual,Video Tutorial
94,80,77,3,Reading/Writing,Online Course
95,23,64,1,Reading/Writing,Online Course
96,36,73,5,Kinesthetic,Practice Exercises
97,25,66,8,Visual,Video Tutorial
98,112,75,5,Visual,Video Tutorial
99,114,89,1,Visual,Video Tutorial
100,135,92,5,Kinesthetic,Practice Exercises
101,179,62,3,Visual,Video Tutorial
102,147,47,9,Visual,Video Tutorial
103,73,87,3,Reading/Writing,Online Course
104,123,75,8,Kinesthetic,Practice Exercises
105,133,61,6,Kinesthetic,Practice Exercises
106,170,95,2,Kinesthetic,Practice Exercises
107,36,62,9,Kinesthetic,Practice Exercises
108,62,77,7,Kinesthetic,Practice Exercises
109,189,55,3,Reading/Writing,Online Course
110,69,54,8,Reading/Writing,Online Course
111,32,89,7,Kinesthetic,Practice Exercises
112,76,65,4,Visual,Video Tutorial
113,84,37,3,Visual,Video Tutorial
114,162,95,7,Kinesthetic,Practice Exercises
115,105,80,9,Reading/Writing,Online Course
116,82,91,6,Kinesthetic,Practice Exercises
117,77,87,6,Kinesthetic,Practice Exercises
118,68,81,6,Kinesthetic,Practice Exercises
119,34,83,5,Reading/Writing,Online Course
120,27,82,5,Kinesthetic,Practice Exercises
